SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
11331,329,329
11332,175,175
11333,304,1849
11334,329,4175
11335,304,3775
11336,334,2725
11337,334,2725
11338,156,475
11339,266,266
11340,949,3500
11341,699,699
11342,349,1500
11343,228,299.99
11344,95,179
11345,626,3864
11346,499.97,1099
11347,158,1246.99
11348,255,4380
11349,239,5232
11350,225,1499
11351,449.98,4062
11352,320,411
11353,349.95,2760
11354,325,689.97
11355,390,4675
11356,250,567
11357,383,889.99
11358,499,1259.89
11359,119,1605.005
11360,139,599
11361,79.99,300
11362,132,224.75
11363,96.95,850
11364,120,1944
11365,425,538
11366,425,538
11367,350,550
11368,395,569.89
11369,435,868.34
11370,509,1750
11371,873,1399.99
11372,899,1595
11373,398,2295
11374,59,1800
11376,295,1650
11377,185,279.99
11378,180,274.5
11379,119.99,265
11380,158,315
11381,120,972
11382,210,279.99
11383,312,389
11384,150,289
11385,540,2263.89
11386,125,463.5
11388,260,675
11389,316,500.89
11390,189,1799.99
11391,189,1799.99
11392,199,489
11393,159,1350
11394,165,949.99
11395,285,582
11397,171,465
11398,6,95
11399,189.98,355.99
11400,215,1000
11401,108.95,165
11402,162,2232
11403,209,350.74
11404,130,334.9
11405,269.94,379.99
11406,225,299.99
11407,114.98,780
11408,163.89,3142.89
11409,219,2900
11410,206,300
11411,129,1899
11412,135,295
11413,195,259
11414,45,154.99
11415,234,3490.8
11416,74.95,194.95
11417,525,698
11418,585,1699
11419,819,1050
11420,407,625
11421,300,699.99
11422,215,749.99
11423,188,2750
11424,177,1074
11425,195,314.99
11426,159,3325
11427,375,2412
11428,129.94,335
11429,200,655.95
11430,239,499
11431,179,1704
11432,199,1680
11433,278,800
11434,189,202
11435,399.99,1299.97
11436,621,829
11437,399.98,549.97
11438,500,1899
11439,799,7295
11440,399,2263.75
11441,695,950
11442,514.99,879
11444,550,2400
11445,550,2400
11446,799,1200
11448,898,1749
11449,725,1040
11451,845,1299.99
11452,835,4199
11453,425,1699
11454,899,1425.84
11455,895.99,1199.97
11456,599,1887.89
11458,392,7848.89
11459,75,219
11460,449,614
11461,459,1824.89
11462,557,557
11463,557,650
11464,535,874.99
11465,789,859.95
11466,724.99,1210
11467,475,2165
11468,480,1499.99
11469,549.99,1578.95
11470,549,6435
11471,549,1034
11472,300,1908
11473,149.94,1975
11476,185,399.99
11477,152,199.99
11478,133,876
11479,389,3079.75
11480,459,6732
11481,327.97,1095
11482,139,911
11483,139,911
11484,170,480
11485,170,480
11486,300,1099.99
11487,299,494.89
11488,175,2712
11489,179.99,366
11491,248.99,350
11492,123.95,230
11493,319,1125
11494,325,479
11495,139,395
11496,185,500
11497,139.97,349.99
11498,109.95,175
11499,160,538.55
11500,345,1125
11501,137,175
11502,139,2025
11503,124.95,475
11505,175,349.99
11506,135,665
11507,177,235
11508,999,1800
11509,450,8899
11510,315,2400
11511,390,716
11512,799.99,999
11513,495,1100
11514,485,630
11515,395,885
11516,450,1150
11517,848,1229.55
11518,675,954
11519,200,369.65
11520,325,6200
11522,147,1525.005
11523,190,429
11524,209.99,269
11525,162,325
11526,288,389.99
11527,234.95,269
11528,1099,1699
11529,425,2990
11530,449,650
11531,419.99,789.75
11532,495,1150
11533,449,713.5
11534,525,1099
11535,685,799
11536,685,799
11537,575,660
11539,499,894.98
11540,250,1968
11541,340,4400
11542,225,795
11543,199.99,629
11544,139,1990.44
11545,175,250.55
11546,127,179.99
11547,205,525.5
11548,170,240.74
11549,170,240.74
11550,206,1099
11551,250,4560
11552,475,1887.75
11553,244.95,1514
11554,180,3463.99
11555,269,1887.55
11556,390,940
11557,385,1035
11559,139,175
11560,1895,2176
11561,10,7528.89
11562,2525,5873
11563,2300,3512.5
11564,3200,9999.99
11565,133.13,2148
11566,139,1980
11567,119,631.75
11568,99,685
11570,245,350.89
11571,190,243.55
11572,73,299
11573,73,299
11574,224.95,900
11575,142,180
11576,150,195
11577,129,2304
11578,120,1780
11579,114.95,345
11580,152,236.97
11581,74.98,359
11582,105,267.34
11583,209,259
11584,129.99,235
11585,75,489.99
11586,139,3287.16
11587,129,524.99
11588,236,585
11589,155,399.99
11590,39,84
11592,158,894
11593,389,475
11594,325,4415
11595,99,960
11596,194.94,1650
11597,202,626.75
11598,169,632.89
11599,145,185
11600,240,2058
11601,182,219.65
11602,500,500
11603,135,247
11604,395,6684
11605,430,5868
11606,158,191
11607,239,608
11608,333.33,506
11609,455,1799
11610,470,2759.95
11611,152,1212
11612,145,274.97
11613,149.99,1990
11614,109,250
11615,259.99,1950
11616,455,495
11617,127,127
11618,299.95,2364
11619,221,350
11620,145,152
11621,215,2820
11622,485,7092
11624,500,6612
11625,750,5875
